Ticker,Name,Sector,Market_cap,EPS,PE_ratio,ROE,PB_ratio,Div_payout,PS_ratio,FCF,Debt_to_equity
4SI.JO,4Sight Holdings Ltd,Technology,158167674.88,-0.015,1670.7868476875,0.02316,51.72414,0.0,32.01226,1271869.84,4.158
ABG.JO,Absa Group Limited,Financial Services,133950309662.72,16.349,987.15515,0.11218,110.10596,0.0,186.48239,-2810093.5235294118,53.87720588235294
ABSP.JO,ABSA Bank Ltd Pref,Financial Services,3631238021.12,17.941,4514.7983,0.09397,391.9652,0.29707872325531914,7.5106273,-2810093.5235294118,53.87720588235294
ACL.JO,ArcelorMittal SA Limited,Basic Materials,10588795699.2,2.326,408.42648,0.84142,230.07991,0.0,33.911274,19444999.68,148.718
ACS.JO,Acsion Limited,Real Estate,1647767879.68,1.494,280.45517,0.08583,21.17124,0.0,225.91226,1832291.2,15.684
ACT.JO,AfroCentric Inv Corp Ltd,Healthcare,2917781340.16,0.511,998.0431,0.15491,125.58484,0.6361,36.122425,1247282.48,30.589
ACZ.JO,Arden Capital Limited,Consumer Cyclical,2189840.0,-2.603,3200.934360714286,-0.24354,3.220612,0.0,7.2532864,-106444.98,2.916
ADH.JO,ADvTECH Ltd,Consumer Defensive,9619250216.96,1.084,1628.2288,0.15461001,236.4367,0.18450001,173.93092,8274124.8,46.645
ADI.JO,Adapt IT Holdings Ltd,Industrials,967697121.28,0.503,1401.5905,0.089090005,120.492226,0.0,64.36819,2515490.72,65.739
ADR.JO,Adcorp Holdings Limited,Industrials,575664005.12,0.275,1949.0908,0.01551,42.753452,0.0,5.055425,262417.5,50.37
ADW.JO,African Dawn Capital Ltd,Financial Services,20367008.0,-0.226,2640.3947586956524,0.1283900003469388,1203.0324925,0.0,239.18976,-2810093.5235294118,53.87720588235294
AEE.JO,African Equity Emp Inv Ltd,Technology,540124200.96,-0.271,1670.7868476875,-0.045819998,19.07735,0.24895237619047622,23.090431,-3705471.36,4.068
AEG.JO,Aveng Group Limited,Industrials,3364397056.0,12.356,231.70929,0.118,2164.0212,0.0,15.640356,3672499.84,40.545
AEL.JO,Altron Limited A,Technology,3177200025.6,31.536,26.985033,0.03803,73.51417,1.1429,42.373966,-432500.0,42.024
AFE.JO,AECI Limited,Basic Materials,12912922460.16,3.929,2989.3103,0.04247,122.910934,1.4503999,52.38933,5995000.32,45.946
AFEP.JO,"AECI Limited 5,5% Pref",Basic Materials,106856232.96,3.929,356.57928,0.04247,14.6614065,0.19209999849999998,0.43352902,5995000.32,45.946
AFH.JO,Alexander Forbes Grp Hldgs,Financial Services,5778469027.84,0.118,3644.0679,0.10569999,135.56116,0.6875,138.30707,6780000.0,16.123
AFT.JO,Afrimat Limited,Basic Materials,8410679869.44,5.342,1141.8944,0.32646,312.16415,0.2767,184.57669,8140282.24,19.038
AGL.JO,Anglo American plc,Basic Materials,950317550141.44,86.05,823.1493,0.29116,2955.2737,0.18110001,2236.357,76622499.84,34.75
AHA.JO,Arrowhead Prop Ltd A,Real Estate,965868011.52,0.176,8750.0,0.01867,244.75525,0.39719999435897435,48.358467,15012450.56,66.791
AHB.JO,Arrowhead Prop Ltd B,Real Estate,3805687971.84,0.176,2272.7273,0.01867,63.572792,0.39719999435897435,190.54077,15012450.56,66.791
AHL.JO,AH-Vest Limited,Consumer Defensive,53025960.96,0.1,520.0,0.25804,119.815674,8.0689,29.425722,-23172.9,98.379
AIL.JO,African Rainbow Cap Inv,Financial Services,9619720765.44,0.73,1000.0,0.08428001,82.476555,0.0,1044.4865,5706250.24,53.87720588235294
AIP.JO,Adcock Ingram Hldgs Ltd,Healthcare,8134810009.6,3.961,1269.6289,0.1436,173.7313,0.202,104.60284,1111836.24,6.311
ALH.JO,Alaris Holdings Ltd,Technology,504206417.92,0.383,1065.2742,0.19236,190.12117,0.0,153.57866,289346.24,9.502
AME.JO,African Media Ent Ltd,Communication Services,283612672.0,0.949,3793.4668,0.04277,119.37923,1.0519999,125.83197,209960.0,61.18921428571429
AMS.JO,Anglo American Plat Ltd,Basic Materials,456042647388.16,266.403,647.2374,0.80764,394.1769,0.1713,224.47684,452652482.56,3.855
ANG.JO,Anglogold Ashanti Ltd,Basic Materials,123479858872.32,33.746,876.7558,0.27438,3236.7356,0.2148,2787.9849,7408750.08,54.505
ANH.JO,Anheuser-Busch InBev SA NV,Consumer Defensive,1811218578800.64,39.615,2631.9575,0.137499599998,3009.178,0.4181,3425.602,7309577.567037038,113.923
ANI.JO,Afine Investments Ltd,Real Estate,272000000.0,0.4327647058823531,1411.27358334375,0.02961041621875,597.8926208265307,0.39719999435897435,6299.832352509804,1611233.3044,93.16957142857143
AON.JO,African & Over Ent Ltd -N,Consumer Cyclical,74210995.2,-4.471,3200.934360714286,0.08354,63.807346,0.0,15.960692,1236077.52,125.558
AOO.JO,African & Over Ent Ltd,Consumer Cyclical,21200000.0,-4.471,3200.934360714286,0.08354,149.05959,0.0,4.559522,1236077.52,125.558
APF.JO,Accelerate Prop Fund Ltd,Real Estate,1131652956.16,-0.71,1411.27358334375,-0.106929995,18.387096,0.0,115.76965,-7745212.8,103.484
APH.JO,Alphamin Resources Corp,Basic Materials,21694486937.6,0.321,5573.2085,0.16237,10222.857,0.0,7801.212,699452.32,15.623
APN.JO,Aspen Pharmacare Hldgs Ltd,Healthcare,98966521774.08,10.528,2065.2546,0.07116,150.8014,0.0,262.0519,89459998.72,37.951
ARA.JO,Astoria Investments Ltd,Financial Services,283852001.28,2.679,186.63681,0.53319,875.6568,0.0,2787.8726,60309.69,53.87720588235294
ARH.JO,ARB Holdings Limited,Technology,1739000053.76,0.814,909.0909,0.16614,140.73793,0.0,59.495323,2069495.04,13.016
ARI.JO,African Rainbow Min Ltd,Basic Materials,45473018675.2,63.99,362.85355,0.39731,113.13042,0.26569998,231.33243,23506250.24,3.356
ARL.JO,Astral Foods Ltd,Consumer Defensive,6487169433.6,12.17,1372.6376,0.11098,155.24516,0.90790004,40.887398,1905012.48,18.44
ART.JO,Argent Industrial Ltd,Basic Materials,764347760.64,2.849,466.47946,0.14936,64.36771,0.0,35.513977,218823.76,18.427
ASC.JO,Ascendis Health Ltd,Healthcare,399640043.52,-2.265,3518.170847,-1.67082,115.76011,0.0,17.928434,-46610698.24,1359.719
ATI.JO,Afristrat Inv Hldgs Ltd,Industrials,594458992.64,-0.005,1211.8949705263158,0.07165000008888889,311.34461130434784,0.0,-404.38013,9097657.18068182,106.65353333333334
ATT.JO,Attacq Limited,Real Estate,5408300728.32,0.216,3550.9258,0.01358,48.68605,0.0,219.76573,640593.76,91.65
AVI.JO,AVI Ltd,Consumer Defensive,25086611947.52,4.974,1527.9453,0.34939,569.886,0.8243,189.05896,18145625.6,43.588
