Year,Month,Units Available - Industry,Hotel Units,Caravan & Camp Units,Guest House & Farm Units,Other Accommodation Units,Nights sold - Industry,Hotel - Nights sold,Caravan & Camping - Nights sold,Guest Houses & Farms - Nights sold,Other accommodation - Nights sold,Occupancy Rate - Industry,Hotels - Occupancy rate,Caravan & Camp - Occupancy rate,Guest Houses & Farms - Occupancy rate,Other accommodation - Occupancy rate,Income per stay unit nights  - Industry,Hotels - Income per stay unit nights,Caravan & Camp - Income per stay unit nights,Guest Houses & Farms - Income per stay unit nights,Other accommodation - Income per stay unit nights,Accommodation Income - Industry,Hotels - Accommodation Income,Caravan & Camp - Accommodation Income,Guest Houses & Farms - Accommodation Income,Other accommodation - Accommodation Income,Rest & Bar Sales - Industry,Hotels - Rest & Bar Sales,Caravan & Camping - Rest & Bar Sales,Guest Houses & Farms - Rest & Bar Sales,Other accommodation - Rest & Bar Sales,Other income - Industry,Hotels - Other Income,Caravan & Camping - Other Income,Guest Houses & Farms - Other Income,Other accommodation - Other Income,Total income - Industry,Hotels - Total Income,Caravan & Camping - Total Income,Guest Houses & Farms - Total Income,Other accommodation - Total Income,Nights sold - Industry SA,Hotel - Nights sold SA,Caravan & Camping - Nights sold SA,Guest Houses & Farms - Nights sold SA,Other accommodation - Nights sold SA,Occupancy rate - Industry SA,Hotels - Occupancy rate SA,Caravan and Camping - Occupancy rate SA,Guest Houses and Farms - Occupancy rate SA,Other accommodation - Occupancy rate_SA,Industry - Income per stay unit nights SA,Hotels - Income per stay unit nights SA,Caravan and Camping - Income per stay unit nights SA,Guest Houses and Farms - Income per stay unit nights SA,Other accommodation - Income per stay unit nights SA,Accommodation Income - Industry SA,Hotels - Accommodation Income SA,Caravan & Camping - Accommodation Income SA,Guest Houses & Farms - Accommodation Income SA,Other accommodation - Accommodation Income SA,Rest & Bar Sales - Industry SA,Hotels - Rest & Bar Sales SA,Caravan & Camping - Rest & Bar Sales SA,Guest Houses & Farms - Rest & Bar Sales SA,Other accommodation - Rest & Bar Sales SA,Other Income - Industry SA,Hotels - Other Income SA,Caravan & Camping - Other Income SA,Guest Houses & Farms - Other Income SA,Other accommodation - Other Income SA,Total Income - Total industry SA,Hotels - Total Income SA,Caravan & Camping - Total Income SA,Guest Houses & Farms - Total Income SA,Other accommodation - Total Income SA
2007,January,127500.0,63400.0,11600.0,12500.0,40000.0,1675000.0,944900.0,49900.0,144600.0,535600.0,42.4,48.1,13.9,37.3,43.2,608.8,747.6,100.2,394.2,469.4,1019800000.0,706400000.0,5000000.0,57000000.0,251400000.0,344200000.0,278700000.0,800000.0,2700000.0,62000000.0,429800000.0,420200000.0,900000.0,1400000.0,7300000.0,1793800000.0,1405300000.0,6700000.0,61100000.0,320700000.0,1785000.0,1032400.0000000001,51000.0,144100.0,557500.0,45.4,52.5,15.2,37.7,45.2,572.9,719.2,88.8,345.0,436.0,1026400000.0000001,732500000.0,4900000.0,50200000.0,238800000.0,397600000.0,328100000.0,1100000.0,2700000.0,65599999.99999999,487900000.0,478500000.0,1000000.0,1400000.0,7000000.0,1911900000.0,1539200000.0,6900000.0,54300000.0,311500000.0
2007,February,127600.0,63500.0,11600.0,12500.0,40000.0,1768000.0,1019700.0,43500.0,137400.0,567400.0,49.5,57.4,13.4,39.3,50.7,628.7,803.2,89.7,381.4,416.3,1111500000.0,819000000.0,3900000.0,52400000.0,236200000.0,399400000.0,337500000.0,1300000.0,3000000.0,57600000.0,489100000.0,479900000.0,900000.0,1300000.0,7000000.0,2000000000.0,1636400000.0,6100000.0,56700000.0,300800000.0,1776600.0,1009800.0,54600.0,134300.0,577900.0,46.2,52.6,15.6,34.7,47.1,582.9,733.6,88.0,352.4,420.6,1046900000.0000001,741700000.0,5100000.0,49000000.0,251200000.0,388400000.0,330600000.0,1500000.0,2900000.0,53500000.0,508500000.0,499100000.0,900000.0,1300000.0,7200000.0,1943900000.0,1571300000.0,7500000.0,53200000.0,311900000.0
2007,March,128100.0,63900.0,11600.0,12200.0,40400.0,1904600.0,1106200.0,62600.0,140800.0,595000.0,48.0,55.8,17.4,37.2,47.5,613.5,763.4,79.9,463.1,426.6,1168500000.0,844500000.0,5000000.0,65200000.0,253800000.0,429200000.0,368200000.0,800000.0,2800000.0,57400000.0,587600000.0,574300000.0,1500000.0,1700000.0,10100000.0,2185300000.0,1787000000.0,7300000.0,69700000.0,321300000.0,1782000.0,1024200.0,59700.0,134200.0,563900.0,45.4,52.7,16.6,37.5,45.2,593.0,732.1,75.6,494.9,420.9,1055400000.0000001,747900000.0,5000000.0,59100000.0,243500000.0,390700000.0,334000000.0,900000.0,2700000.0,53100000.0,544600000.0,533299999.99999994,1500000.0,1600000.0,8100000.0,1990700000.0,1615200000.0,7400000.0,63400000.0,304700000.0
2007,April,126900.0,63900.0,11600.0,11800.0,39600.0,1819700.0,1002900.0,89700.0,153500.0,573600.0,47.8,52.3,25.8,43.4,48.3,573.5,734.5,66.9,297.7,445.1,1043599999.9999999,736600000.0,6000000.0,45700000.0,255300000.0,358600000.0,302900000.0,1300000.0,2800000.0,51600000.0,509300000.0,497000000.0,900000.0,1700000.0,9700000.0,1911500000.0,1536500000.0,8199999.999999999,50200000.0,316600000.0,1828500.0,1040000.0,75900.0,159000.0,553600.0,47.5,53.7,21.6,43.8,46.1,585.0,740.0,68.7,293.0,430.8,1058900000.0000001,775900000.0,5500000.0,48200000.0,229200000.0,400500000.0,341000000.0,1200000.0,3100000.0,55300000.0,529299999.99999994,517200000.00000006,1000000.0,1400000.0,9600000.0,1988600000.0,1634000000.0,7800000.0,52700000.0,294100000.0
2007,May,126600.0,63600.0,11600.0,11800.0,39600.0,1685000.0,1005600.0,43500.0,124500.0,511400.0,42.9,51.0,12.1,34.0,41.7,565.3,712.7,87.4,290.8,383.1,952600000.0,716700000.0,3800000.0,36200000.0,195900000.0,375900000.0,325900000.0,800000.0,2700000.0,46500000.0,484700000.0,476100000.0,1500000.0,1000000.0,6100000.0,1813200000.0,1518700000.0,6100000.0,39900000.0,248500000.0,1782100.0,1024800.0,65900.0,140400.0,551000.0,46.7,53.3,19.6,39.5,46.0,587.5,751.4,87.2,327.1,401.0,1059800000.0,779700000.0,6000000.0,47200000.0,226900000.0,406900000.0,345700000.0,1000000.0,3100000.0,57000000.0,542800000.0,532400000.0,1400000.0,1300000.0,7700000.0,2009500000.0,1657800000.0,8500000.0,51600000.0,291600000.0
2007,June,126700.0,63600.0,11600.0,11900.0,39600.0,1633300.0,953200.0,44300.0,108100.0,527700.0,43.0,50.0,12.7,30.3,44.4,543.1,686.8,79.0,330.2,366.1,887100000.0,654700000.0,3500000.0,35700000.0,193200000.0,333100000.0,282300000.0,800000.0,1900000.0,48100000.0,504800000.0,497000000.0,900000.0,800000.0,6100000.0,1725000000.0,1434000000.0,5200000.0,38400000.0,247400000.0,1831900.0,1041000.0,66200.0,141500.0,583200.0,47.5,53.7,17.1,36.1,48.5,591.7,742.1,87.8,346.2,421.3,1064400000.0000001,772700000.0,5400000.0,48900000.0,237400000.0,387400000.0,324700000.0,1000000.0,2800000.0,58800000.0,541700000.0,531600000.0,1000000.0,1200000.0,7900000.0,1993500000.0,1629000000.0,7400000.0,52900000.0,304200000.0
2007,July,126700.0,63600.0,11600.0,12100.0,39400.0,1782900.0,1026800.0,61800.0,142100.0,552200.0,45.4,52.1,17.2,37.9,45.2,556.3,688.5,63.1,279.4,436.8,991800000.0,707000000.0,3900000.0,39700000.0,241200000.0,344000000.0,297600000.0,800000.0,2900000.0,42700000.0,484600000.0,474700000.0,1500000.0,1000000.0,7400000.0,1820400000.0,1479300000.0,6200000.0,43600000.0,291300000.0,1849000.0,1053400.0,79800.0,155200.0,560600.0,48.1,54.0,21.6,42.5,47.2,591.0,744.7,69.8,307.1,452.3,1099300000.0,788600000.0,5400000.0,48100000.0,257100000.00000003,393200000.0,334900000.0,900000.0,3000000.0,54300000.0,509700000.0,497800000.0,1700000.0,1400000.0,8800000.0,2002100000.0,1621300000.0,8100000.0,52500000.0,320200000.0
2007,August,126600.0,63600.0,11600.0,12100.0,39300.0,1855300.0,1071400.0,58100.0,146800.0,579000.0,47.3,54.3,16.2,39.1,47.5,579.5,725.8,60.2,305.2,430.6,1075200000.0,777600000.0,3500000.0,44800000.0,249300000.0,409000000.0,346900000.0,1300000.0,3200000.0,57600000.0,535200000.00000006,525100000.0,1500000.0,1400000.0,7200000.0,2019400000.0,1649600000.0,6300000.0,49400000.0,314100000.0,1874300.0,1063300.0,65600.0,151200.0,594100.0,49.1,55.1,18.9,42.0,49.9,602.2,768.1,68.8,322.9,446.2,1151700000.0,824400000.0,5300000.0,48600000.0,273400000.0,407500000.0,344600000.0,1300000.0,3400000.0,58200000.0,558100000.0,546500000.0,1500000.0,1500000.0,8600000.0,2117400000.0,1715600000.0,8100000.0,53500000.0,340200000.0
2007,September,126500.0,63600.0,11600.0,12200.0,39100.0,1873800.0,1058400.0,58300.0,169900.0,587200.0,49.4,55.5,16.8,46.4,50.1,599.9,757.7,61.7,310.2,452.7,1124000000.0,801900000.0,3600000.0,52700000.0,265800000.0,421400000.0,355500000.0,1300000.0,3200000.0,61400000.0,551800000.0,541000000.0,900000.0,1700000.0,8199999.999999999,2097199999.9999998,1698400000.0,5800000.0,57600000.0,335400000.0,1867300.0,1041200.0,60900.0,171400.0,593900.0,48.8,54.4,17.1,46.4,50.6,618.6,782.0,65.7,334.2,477.0,1152100000.0,812900000.0,4300000.0,58000000.0,276800000.0,415600000.0,350200000.0,1100000.0,3600000.0,60600000.0,539300000.0,527799999.99999994,900000.0,1700000.0,8900000.0,2107000000.0,1691000000.0,6300000.0,63300000.0,346400000.0
2007,October,125900.0,63600.0,11600.0,11800.0,38900.0,2061199.9999999998,1218200.0,46600.0,186400.0,610000.0,52.8,61.8,13.0,51.0,50.6,627.0,767.4,77.3,382.5,463.4,1292400000.0,934800000.0,3600000.0,71300000.0,282700000.0,472700000.0,400200000.0,1300000.0,4300000.0,66900000.00000001,575000000.0,562600000.0,1500000.0,2300000.0,8600000.0,2340100000.0,1897600000.0,6400000.0,77900000.0,358200000.0,1960400.0,1119000.0,62500.0,175900.0,602900.0,50.6,57.8,18.1,47.8,50.8,614.5,764.9,80.0,378.4,455.7,1190600000.0,844900000.0,5200000.0,65300000.0,275200000.0,431500000.0,367000000.0,900000.0,3700000.0,59900000.0,559100000.0,548200000.0,1600000.0,1800000.0,7500000.0,2181300000.0,1760100000.0,7700000.0,70800000.0,342700000.0
