Code,Market Cap,Last trade,Change,%Change,Sector
PRX,"	2509610000000",1220.33,10.05,0.83,Technology
ANH,"	1647670000000",931.1,-17.36,-1.83,Consumer Goods
BTI,"	1418320000000",578.2,0.87,0.15,Consumer Goods
CFR,"	1185100000000",226.44,-0.59,-0.26,Consumer Goods
GLN,"	1131740000000",75.51,-2.08,-2.68,Basic Materials
NPN,"	1029860000000",2375,10.17,0.43,Technology
BHP,"	966104000000",448.11,-9.33,-2.04,Basic Materials
AGL,"	833006000000",605.63,-14.32,-2.31,Basic Materials
AMS,"	473547000000",1736.28,-48.73,-2.73,Basic Materials
FSR,"	334494000000",58.26,-1.37,-2.3,Financials
MTN,"	324603000000",170.44,-1.83,-1.06,Telecommunications
VOD,"	244060000000",131.44,-1.5,-1.13,Telecommunications
CPI,"	231185000000",1974.54,-24.79,-1.24,Financials
SBK,"	217433000000",130.66,-3.56,-2.65,Financials
S32,"	206729000000",44.5,0.1,0.23,Basic Materials
IMP,"	186382000000",207.76,-12.07,-5.49,Basic Materials
MNP,"	186268000000",368.95,-14.65,-3.82,Basic Materials
SOL,"	159603000000",243.28,-10.43,-4.11,Basic Materials
GFI,"	151338000000",163.75,-6.73,-3.95,Basic Materials
KIO,"	146452000000",448.58,-6.14,-1.35,Basic Materials
SSW,"	135000000000",46.55,-1.52,-3.16,Basic Materials
ANG,"	134900000000",313.31,-9.82,-3.04,Basic Materials
SLM,"	128185000000",56.45,-1.11,-1.93,Financials
ABG,"	126205000000",144.54,-4.33,-2.91,Financials
SHP,"	121520000000",206.63,1.13,0.55,Consumer Services
BID,"	106970000000",317.75,-1.18,-0.37,Consumer Services
APN,"	102775000000",217.78,-7.39,-3.28,Health Care
DSY,"	91975800000",134.8,-2.69,-1.96,Financials
NED,"	87001600000",168.56,-2.41,-1.41,Financials
PPH,"	81044200000",21.62,-0.3,-1.37,Consumer Services
NHM,"	76416600000",173.99,0,0,Basic Materials
CLS,"	75128000000",309.05,1.11,0.36,Consumer Services
REM,"	67618100000",126.45,-1.32,-1.03,Financials
RMI,"	67537400000",43.65,-0.44,-1,Financials
NRP,"	64407300000",103.07,-2.69,-2.54,Financials
BVT,"	63202600000",182.71,-3.03,-1.63,Industrials
OMU,"	59516100000",12.26,-0.38,-3.01,Financials
INP,"	58457000000",82.28,-1.7,-2.02,Financials
RNI,"	55353400000",281.89,-0.62,-0.22,Financials
EXX,"	54586500000",150.06,-4.74,-3.06,Basic Materials
WHL,"	54235400000",50.7,-0.86,-1.67,Consumer Services
MCG,"	53256400000",120.23,-0.12,-0.1,Consumer Services
MRP,"	51447300000",195.26,-5.36,-2.67,Consumer Services
GRT,"	50775700000",14.43,-0.37,-2.5,Financials
ARI,"	50525600000",218.67,-6.44,-2.86,Basic Materials
QLT,"	50331700000",29.66,-0.44,-1.46,Financials
MEI,"	47390000000",62.27,-2.01,-3.13,Health Care
RBP,"	45719500000",154.07,-4.11,-2.6,Basic Materials
TFG,"	40236400000",118.97,-2.58,-2.12,Consumer Services
HAR,"	38206100000",60.19,-1.78,-2.87,Basic Materials
DGH,"	37055100000",164,-2.09,-1.26,Consumer Goods
N91,"	36106000000",55.69,-2.3,-3.97,Financials
VVO,"	36095200000",27.49,-1,-3.51,Consumer Services
LHC,"	33719700000",22.9,-0.08,-0.35,Health Care
TBS,"	33343600000",173.72,-1.93,-1.1,Consumer Goods
SRE,"	33212800000",28.67,0.27,0.95,Financials
TCP,"	32363400000",44.15,-0.73,-1.63,Financials
SNT,"	31070500000",263.86,-6.02,-2.23,Financials
SPP,"	30970500000",160.13,-0.68,-0.42,Consumer Services
MSP,"	30675000000",20.2,-0.25,-1.22,Financials
DCP,"	30120200000",34.68,-0.34,-0.97,Consumer Services
BAW,"	29779200000",149.8,1.09,0.73,Industrials
