ticker,name,sector,market_cap,EPS,PE_ratio,ROE,PB_ratio,div_payout_ratio,PS_ratio,FCF,divident_yield,debt_equity,earnings_growth
4SI.JO,4Sight Holdings Ltd,Technology,15816767488.0,-0.015,,0.02316,51.72414,0.0,32.01226,127186984.0,,4.158,
ABG.JO,Absa Group Limited,Financial Services,13395030966272.0,16.349,987.15515,0.11218,110.10596,0.0,186.48239,,0.019,,
ABSP.JO,ABSA Bank Ltd Pref,Financial Services,363123802112.0,17.941,4514.7983,0.09397,391.9652,,7.5106273,,0.060599998,,
ACL.JO,ArcelorMittal SA Limited,Basic Materials,1058879569920.0,2.326,408.42648,0.84142,230.07991,0.0,33.911274,1944499968.0,,148.718,
ACS.JO,Acsion Limited,Real Estate,164776787968.0,1.494,280.45517,0.08583,21.17124,0.0,225.91226,183229120.0,,15.684,
ACT.JO,AfroCentric Inv Corp Ltd,Healthcare,291778134016.0,0.511,998.0431,0.15491,125.58484,0.6361,36.122425,124728248.0,0.0646,30.589,
ACZ.JO,Arden Capital Limited,Consumer Cyclical,218984000.0,-2.603,,-0.24354,3.220612,0.0,7.2532864,-10644498.0,,2.916,
ADH.JO,ADvTECH Ltd,Consumer Defensive,961925021696.0,1.084,1628.2288,0.15461001,236.4367,0.18450001,173.93092,827412480.0,0.0219,46.645,
ADI.JO,Adapt IT Holdings Ltd,Industrials,96769712128.0,0.503,1401.5905,0.089090005,120.492226,0.0,64.36819,251549072.0,,65.739,
ADR.JO,Adcorp Holdings Limited,Industrials,57566400512.0,0.275,1949.0908,0.01551,42.753452,0.0,5.055425,26241750.0,,50.37,
ADW.JO,African Dawn Capital Ltd,Financial Services,2036700800.0,-0.226,,,,0.0,239.18976,,,,
AEE.JO,African Equity Emp Inv Ltd,Technology,54012420096.0,-0.271,,-0.045819998,19.07735,,23.090431,-370547136.0,0.2,4.068,
AEG.JO,Aveng Group Limited,Industrials,336439705600.0,12.356,231.70929,0.118,2164.0212,0.0,15.640356,367249984.0,,40.545,
AEL.JO,Altron Limited A,Technology,317720002560.0,31.536,26.985033,0.03803,73.51417,1.1429,42.373966,-43250000.0,0.0152,42.024,
AFE.JO,AECI Limited,Basic Materials,1291292246016.0,3.929,2989.3103,0.04247,122.910934,1.4503999,52.38933,599500032.0,0.059499998,45.946,
AFEP.JO,"AECI Limited 5,5% Pref",Basic Materials,10685623296.0,3.929,356.57928,0.04247,14.6614065,,0.43352902,599500032.0,0.0832,45.946,
AFH.JO,Alexander Forbes Grp Hldgs,Financial Services,577846902784.0,0.118,3644.0679,0.10569999,135.56116,0.6875,138.30707,678000000.0,0.048299998,16.123,
AFT.JO,Afrimat Limited,Basic Materials,841067986944.0,5.342,1141.8944,0.32646,312.16415,0.2767,184.57669,814028224.0,0.0273,19.038,
AGL.JO,Anglo American plc,Basic Materials,95031755014144.0,86.05,823.1493,0.29116,2955.2737,0.18110001,2236.357,7662249984.0,0.0533,34.75,
AHA.JO,Arrowhead Prop Ltd A,Real Estate,96586801152.0,0.176,8750.0,0.01867,244.75525,,48.358467,1501245056.0,0.0757,66.791,
AHB.JO,Arrowhead Prop Ltd B,Real Estate,380568797184.0,0.176,2272.7273,0.01867,63.572792,,190.54077,1501245056.0,0.1158,66.791,
AHL.JO,AH-Vest Limited,Consumer Defensive,5302596096.0,0.1,520.0,0.25804,119.815674,8.0689,29.425722,-2317290.0,0.0208,98.379,
AIL.JO,African Rainbow Cap Inv,Financial Services,961972076544.0,0.73,1000.0,0.08428001,82.476555,0.0,1044.4865,570625024.0,,,
AIP.JO,Adcock Ingram Hldgs Ltd,Healthcare,813481000960.0,3.961,1269.6289,0.1436,173.7313,0.202,104.60284,111183624.0,0.0336,6.311,1.51
ALH.JO,Alaris Holdings Ltd,Technology,50420641792.0,0.383,1065.2742,0.19236,190.12117,0.0,153.57866,28934624.0,,9.502,
AME.JO,African Media Ent Ltd,Communication Services,28361267200.0,0.949,3793.4668,0.04277,119.37923,1.0519999,125.83197,20996000.0,0.0511,,
AMS.JO,Anglo American Plat Ltd,Basic Materials,45604264738816.0,266.403,647.2374,0.80764,394.1769,0.1713,224.47684,45265248256.0,0.077,3.855,
ANG.JO,Anglogold Ashanti Ltd,Basic Materials,12347985887232.0,33.746,876.7558,0.27438,3236.7356,0.2148,2787.9849,740875008.0,0.0247,54.505,0.64
ANH.JO,Anheuser-Busch InBev SA NV,Consumer Defensive,181121857880064.0,39.615,2631.9575,,3009.178,0.4181,3425.602,,0.0086,113.923,2.83
ANI.JO,Afine Investments Ltd,Real Estate,27200000000.0,,,,,,,,,,
AON.JO,African & Over Ent Ltd -N,Consumer Cyclical,7421099520.0,-4.471,,0.08354,63.807346,0.0,15.960692,123607752.0,,125.558,
AOO.JO,African & Over Ent Ltd,Consumer Cyclical,2120000000.0,-4.471,,0.08354,149.05959,0.0,4.559522,123607752.0,,125.558,
APF.JO,Accelerate Prop Fund Ltd,Real Estate,113165295616.0,-0.71,,-0.106929995,18.387096,0.0,115.76965,-774521280.0,,103.484,
APH.JO,Alphamin Resources Corp,Basic Materials,2169448693760.0,0.321,5573.2085,0.16237,10222.857,0.0,7801.212,69945232.0,,15.623,
APN.JO,Aspen Pharmacare Hldgs Ltd,Healthcare,9896652177408.0,10.528,2065.2546,0.07116,150.8014,0.0,262.0519,8945999872.0,0.0116,37.951,0.79
ARA.JO,Astoria Investments Ltd,Financial Services,28385200128.0,2.679,186.63681,0.53319,875.6568,0.0,2787.8726,6030969.0,,,
ARH.JO,ARB Holdings Limited,Technology,173900005376.0,0.814,909.0909,0.16614,140.73793,0.0,59.495323,206949504.0,0.0448,13.016,
ARI.JO,African Rainbow Min Ltd,Basic Materials,4547301867520.0,63.99,362.85355,0.39731,113.13042,0.26569998,231.33243,2350625024.0,0.1694,3.356,0.79
ARL.JO,Astral Foods Ltd,Consumer Defensive,648716943360.0,12.17,1372.6376,0.11098,155.24516,0.90790004,40.887398,190501248.0,0.0417,18.44,
ART.JO,Argent Industrial Ltd,Basic Materials,76434776064.0,2.849,466.47946,0.14936,64.36771,0.0,35.513977,21882376.0,,18.427,
ASC.JO,Ascendis Health Ltd,Healthcare,39964004352.0,-2.265,,-1.67082,115.76011,0.0,17.928434,-4661069824.0,,1359.719,
ATI.JO,Afristrat Inv Hldgs Ltd,Industrials,59445899264.0,-0.005,,,,0.0,-404.38013,,,,
ATT.JO,Attacq Limited,Real Estate,540830072832.0,0.216,3550.9258,0.01358,48.68605,0.0,219.76573,64059376.0,,91.65,2.33
AVI.JO,AVI Ltd,Consumer Defensive,2508661194752.0,4.974,1527.9453,0.34939,569.886,0.8243,189.05896,1814562560.0,0.073,43.588,2.06
AVL.JO,Advanced Health Ltd,Healthcare,27433175040.0,-0.052,,0.00345,504.58716,0.0,40.3029,70974496.0,,353.763,
AVV.JO,Alviva Holdings Ltd,Technology,205137494016.0,2.589,695.6354,0.12347999,84.94482,0.0579,13.773963,7416125.0,0.0168,59.545,
AYO.JO,Ayo Tech Solutions Ltd,Technology,135928979456.0,-0.596,,-0.06537,35.28676,,79.982124,-544966720.0,0.1714,3.844,
BAT.JO,Brait PLC,Financial Services,604555444224.0,0.997,459.37814,0.12276,1139.3035,0.0,5962.6187,38710352.0,,62.83,
BAU.JO,Bauba Resources Limited,Basic Materials,27743229952.0,-0.047,,-0.08891,83.333336,0.0,100.11992,-117232376.0,,34.804,
BAW.JO,Barloworld Ltd,Industrials,2731496701952.0,13.758,1001.381,0.1362,128.7859,0.0992,65.73525,6197749760.0,0.0315,63.575,1.02
BCF.JO,Bowler Metcalf Ltd,Consumer Cyclical,84505886720.0,1.273,926.1587,0.12942,115.328186,0.3841,132.97334,19913750.0,0.0428,0.218,
BEL.JO,Bell Equipment Ltd,Industrials,123361927168.0,1.539,838.2066,0.04681,34.361515,0.0,16.547428,853284096.0,,30.861,
BHP.JO,BHP Group Plc,Basic Materials,106251904090112.0,35.438,1419.5779,0.2496,4962.711,0.6935,1735.2632,18975250432.0,0.0884,38.79,-0.42
BID.JO,BID Corporation Ltd,Consumer Defensive,11092396867584.0,9.232,3595.1038,0.11273,398.05234,0.0,96.620766,3896800000.0,0.012200001,50.256,1.78
BIK.JO,Brikor Ltd,Industrials,32257679360.0,0.031,1290.3226,0.24518,277.7778,0.0,114.19496,16181000.0,,25.768,
BLU.JO,Blue Label Telecoms Ltd,Communication Services,462770241536.0,0.914,563.45734,0.29823,140.86433,0.0,25.09782,1304778752.0,,55.063,
BRN.JO,Brimstone Inv Corp Ltd-N,Consumer Defensive,137101901824.0,0.986,659.2292,0.114829995,69.91502,0.0,27.996943,75211376.0,,99.658,
BRT.JO,Brimstone Inv Corp Ltd,Consumer Defensive,23961014272.0,0.986,659.2292,0.114829995,69.91502,0.0,4.8929677,75211376.0,,99.658,
BSR.JO,,,,,,,,,,,,,
BTI.JO,British American Tob plc,Consumer Defensive,151282035720192.0,57.801,1140.5858,0.09585,2397.1711,0.9768,5891.0454,4945750016.0,0.0727,71.248,
BUC.JO,Buffalo Coal Corp,Energy,32022827008.0,-0.005,,,,0.0,93.57913,27679966.0,,,
BVT.JO,Bidvest Ltd,Industrials,6585329909760.0,11.305,1713.8434,0.14861,257.86572,0.2568,74.56654,8442138624.0,0.0313,90.09,1.13
