JSE_code,Company,Market_cap,Sector
4SI,4Sight Holdings Ltd.,138570000,Financials
ABG,Absa Group Ltd.,1.26205E+11,Financials
ABSP,Absa Bank Ltd.,3642400000,Financials
ACL,ArcelorMittal South Africa Ltd.,10014900000,Basic Materials
ACS,Acsion Ltd.,2567240000,Financials
ACT,AfroCentric Investment Corporation Ltd.,3045840000,Health Care
ACZ,Arden Capital Ltd,2345330,Financials
ADH,ADvTECH Ltd.,9924830000,Consumer Services
ADI,Adapt IT Holdings Ltd.,976731000,Technology
ADR,Adcorp Holdings Ltd.,571764000,Industrials
ADW,African Dawn Capital Ltd.,7637630,Financials
AEE,African Equity Empowerment Investments Ltd.,491022000,Financials
AEG,Aveng Ltd.,3302380000,Industrials
AEL,Altron Ltd.,3529030000,Technology
AFE,AECI Ltd.,11936700000,Basic Materials
AFEP,AECI Ltd.,10686000000,Basic Materials
AFH,Alexander Forbes Group Holdings Ltd.,6093380000,Financials
AFT,Afrimat Ltd.,8300760000,Industrials
AGL,Anglo American plc,8.33E+11,Basic Materials
AHA,Arrowhead Properties Ltd.,903149000,Financials
AHB,Arrowhead Properties Ltd.,3596380000,Financials
AHL,AH-Vest Ltd.,11223900,Consumer Goods
AIL,African Rainbow Capital Investments Ltd.,8038430000,Financials
AIP,Adcock Ingram Holdings Ltd.,8559460000,Health Care
ALH,Alaris Holdings Ltd.,521923000,Technology
AME,African Media Entertainment Ltd.,276128000,Consumer Services
AMS,Anglo American Platinum Ltd.,4.74E+11,Basic Materials
ANG,AngloGold Ashanti Ltd.,1.35E+11,Basic Materials
ANH,Anheuser-Busch InBev SA/NV,1.65E+12,Consumer Goods
ANI,Afine Investments Ltd.,249600000,Real Estate
AON,African and Overseas Enterprises Ltd.,71553400,Consumer Services
AOO,African and Overseas Enterprises Ltd.,21200000,Consumer Services
APF,Accelerate Property Fund Ltd.,1072400000,Financials
APH,Alphamin Resources Corp.,10782100000,Basic Materials
APN,Aspen Pharmacare Holdings Ltd.,1.03E+11,Health Care
ARA,Astoria Investment Ltd.,301451000,Financials
ARH,ARB Holdings Ltd.,1762500000,Industrials
ARI,African Rainbow Minerals Ltd.,50525600000,Basic Materials
ARL,Astral Foods Ltd.,7159430000,Consumer Goods
ART,Argent Industrial Ltd.,773272000,Industrials
ASC,Ascendis Health Ltd.,401365000,Health Care
ATI,Afristrat Investment Holdings Ltd.,59446000000,Industrials
ATT,Attacq Ltd.,5794460000,Financials
AVI,AVI Ltd.,25312600000,Consumer Goods
